Time,Indoor Temp,Indoor Humidity ,Outdoor Temp ,Outdoor Humidity,Dew Point,Feels Like ,Wind,Gust,Wind Direction ,ABS pressure ,REL pressure ,Solar Radiation ,UVI,Hourly Rain,Event Rain,Daily Rain ,Weekly Rain ,Monthly Rain ,Yearly Rain ,Pm 2.5
7/1-2/2023,76.1,67.4,72.2,91.1,69.2,72.6,0.9,1.2,135.8,28.7,28.7,110.9,0.8,0.009,0.4,0.2,0.4,0.4,0.9,18.5
7/2-3/2023,76.4,69.3,69.7,93,67.5,69.8,1.2,1.7,174.8,28.7,28.7,120,0.9,0.004,0.6,0.09,0.2,0.6,1.2,7.2
7/3-4/2023,77,68.6,70.6,89.6,67.2,70.6,1.1,1.5,185.2,28.8,28.8,161.2,1.3,0.0004,0.4,0.03,0.2,0.66,1.2,11.5
7/4-5/2023,77.3,64.4,75.2,74.7,65.4,76,0.8,1.1,257.3,28.9,28.9,281.1,2.4,0,0,0,0.2,0.66,1.2,16.3
7/5-6/2023,77.1,61.6,76.6,73.4,67,77.7,0.4,0.7,200.7,28.8,28.8,117.5,0.9,0,0,0,0.2,0.66,1.2,11.7
7/6-7/2023,76.4,64.9,73.2,86.9,68.5,74.2,1,1.4,177,28.8,28.8,154,1.2,0.005,0.09,0.04,0.3,0.8,1.3,14.9
7/7-8/2023,75.9,62.1,68.8,72.1,58.7,68.9,0.8,1.3,91,28.8,28.8,245.1,2.1,0,0.02,0,0.3,0.8,1.3,6.8
7/8-9/2023,75.4,66,68.1,91.7,65.5,68.1,0.7,0.9,112.6,28.7,28.7,95.8,0.7,0,0,0,0.1,0.8,1.34,12.9
7/9-10/2023,75.1,63.4,66.9,85,61.9,66.9,2,2.7,287.6,28.8,28.8,158.4,1.3,0,0,0,0,0.8,1.34,7
7/10-11/2023,75.3,59.4,70.9,64.1,57.4,70.9,1.4,2,272.8,28.8,28.8,231.2,1.9,0,0,0,0,0.8,1.34,7
7/11-12/2023,75.2,60.2,75.5,62.6,61.2,75.6,2.3,3.1,252.4,28.8,28.8,218.7,1.8,0,0,0,0,0.8,1.34,8.8
7/12-13/2023,75,65.5,70.6,88.4,66.8,70.8,1.8,2.5,178.8,28.7,28.7,124.4,1,0,0,0,0,0.8,1.34,25.6
7/13-14/2023,75.7,63.9,68,84.2,62.7,68,1.5,2.1,133.5,28.7,28.7,234.7,2,0,0,0,0,0.8,1.34,4.6
7/14-15/2023,76.4,61.7,74.1,73.5,64.3,74.4,1,1.4,200.4,28.8,28.8,240.9,2,0,0,0,0,0.8,1.34,6.7
7/15-16/2023,75.6,64.9,69.8,92.1,67.1,70.3,0.9,1.3,238.4,28.8,28.8,84,0.6,0,0,0,0,0.8,1.3,11.1
7/16-17/2023,75.9,63.9,72.4,77.1,64.5,72.4,1.8,2.4,269.6,28.8,28.8,164.9,1.3,0,0,0,0,0.8,1.3,73.9
7/17-18/2023,75.4,63.3,71.6,75.2,62.8,71.7,1.8,2.5,211.4,28.8,28.8,164.6,1.3,0,0,0,0,0.8,1.3,66.9
7/18-19/2023,75.6,61.5,67.6,73.9,58.2,67.6,0.9,1.2,100.1,28.9,28.9,196.9,1.6,0,0,0,0,0.8,1.3,8.1
7/19-20/2023,76.5,59.5,69.7,71.9,58.9,69.7,0.7,1,72.2,28.9,28.9,228.4,1.9,0,0,0,0,0.8,1.3,7.3
7/20-21/2023,76.7,62.4,70.9,85.3,65.7,72,2.1,2.9,262.8,28.7,28.7,173.8,1.5,0,0,0,0,0.8,1.3,13.5
